회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
아이빔테크놀로지,사진장비 및 광학기기 제조업,7년 (2017년 설립),-,주식회사,"5,055만원",-,1개,26명,36명,4명/8명
피앤에스미캐닉스,엔지니어링 서비스업,26년 (1998년 설립),-,기타 법인,"5,043만원",-,1개,18명,22명,11명/8명
산일전기,건물설비 설치 공사업,26년 (1998년 설립),"648억 3,274만원",기타 법인,"5,587만원",-,2개,220명,244명,41명/89명
엑셀세라퓨틱스,자연과학 연구개발업,9년 (2015년 설립),"19억 6,628만원",주식회사,"4,430만원",www.xcell.media,1개,55명,55명,30명/29명
시프트업,시스템ㆍ응용 소프트웨어 개발 및 공급업,11년 (2013년 설립),비공개,주식회사,비공개,https://www.shiftup.co.kr,1개,비공개,비공개,비공개
하스,식료품 소매업,2년 (2022년 설립),-,주식회사,-,-,1개,-,-,-
이노스페이스,공학 연구개발업,7년 (2017년 설립),1억 326만원,주식회사,"5,100만원",www.innospc.com,1개,104명,172명,10명/83명
에이치브이엠,가공 공작기계 제조업,12년 (2012년 설립),-,기타 법인,"4,799만원",-,1개,102명,109명,32명/41명
팡스카이,게임 소프트웨어 개발 및 공급업,12년 (2012년 설립),"209억 4,625만원",주식회사,"5,004만원",www.corp.panggame.com,1개,16명,29명,14명/19명
하이젠알앤엠,유압 기기 제조업,16년 (2008년 설립),"848억 2,288만원",주식회사,"5,602만원",-,2개,239명,213명,35명/32명
에스오에스랩,공학 연구개발업,8년 (2016년 설립),"11억 4,795만원",기타 법인,"5,742만원",-,2개,64명,87명,15명/36명
파라다이스,사행시설 관리 및 운영업,29년 (1995년 설립),-,기타 법인,"6,032만원",-,1개,648명,756명,162명/226명
한중엔시에스,자동차 차체용 신품 부품 제조업,29년 (1995년 설립),"892억 9,852만원",주식회사,"5,025만원",www.hjncs.com,2개,250명,242명,90명/97명
씨어스테크놀로지,방사선 장치 및 전기식 진단 기기 제조업,15년 (2009년 설립),"13억 8,612만원",주식회사,"5,494만원",https://seerstech.com,1개,60명,91명,13명/29명
라메디텍,방사선 장치 및 전기식 진단 기기 제조업,12년 (2012년 설립),"10억 2,866만원",주식회사,"4,325만원",-,1개,27명,60명,11명/31명
그리드위즈,"컴퓨터 시스템 통합 자문, 구축 및 관리업",11년 (2013년 설립),"428억 1,617만원",기타 법인,"5,500만원",-,1개,100명,109명,21명/25명
다원넥스뷰,방송 및 무선 통신장비 제조업,15년 (2009년 설립),"109억 9,107만원",주식회사,"5,463만원",www.nexview.co.kr,1개,57명,63명,11명/19명
노브랜드,기타 봉제의복 제조업,28년 (1996년 설립),"4,683억 2,153만원",기타 법인,"5,039만원",-,1개,368명,331명,149명/124명
아이씨티케이,회사본부,7년 (2017년 설립),-,주식회사,"5,901만원",www.ictk.com,1개,44명,56명,8명/22명
HD현대마린솔루션,엔지니어링 서비스업,8년 (2016년 설립),-,,-,-,1개,527명,,
코칩,일차전지 및 축전지 제조업,26년 (1998년 설립),"473억 1,353만원",기타 법인,"3,974만원",-,1개,78명,75명,34명/36명
민테크,직물제품 제조업,10년 (2014년 설립),-,주식회사,"4,076만원",-,1개,17명,23명,5명/7명
카티스,기타 전자 부품 제조업,18년 (2006년 설립),"214억 7,254만원",기타 법인,"5,571만원",-,2개,67명,85명,30명/35명
디앤디파마텍,자연과학 연구개발업,10년 (2014년 설립),"12억 7,955만원",기타 법인,"5,882만원",-,1개,30명,27명,2명/6명
제일엠앤에스,기타 일반 목적용 기계 제조업,29년 (1995년 설립),"823억 4,141만원",기타 법인,"5,181만원",-,2개,136명,306명,63명/126명
삐아,보육시설 운영업,7년 (2017년 설립),-,개인,"1,641만원",-,1개,8명,6명,3명/0명
아이엠비디엑스,"기술 시험, 검사 및 분석업",6년 (2018년 설립),"12억 9,923만원",주식회사,"5,382만원",www.imbdx.com,1개,61명,60명,15명/20명
엔젤로보틱스,공학 연구개발업,7년 (2017년 설립),"9억 1,700만원",주식회사,"5,317만원",www.angel-robotics.com/ko/,1개,62명,73명,31명/42명
제이투케이바이오,"세제, 화장품 및 광택제 제조업",8년 (2016년 설립),-,주식회사,"4,500만원",www.j2kbio.com,1개,31명,53명,8명/19명
삼현,전기 공급 및 제어장치 제조업,10년 (2014년 설립),-,기타 법인,"4,918만원",-,1개,6명,5명,2명/0명
오상헬스케어,방사선 장치 및 전기식 진단 기기 제조업,28년 (1996년 설립),"1,295억 9,292만원",주식회사,"6,398만원",www.osanghc.com,1개,330명,326명,42명/56명
케이엔알시스템,기타 일반 목적용 기계 제조업,24년 (2000년 설립),"263억 1,292만원",주식회사,"4,720만원",www.knrsys.com,2개,153명,158명,22명/26명
에이피알,"의약품, 의료용 기구, 화장품 및 방향제 소매업",10년 (2014년 설립),"2,288억 6,782만원",주식회사,"5,363만원",apr-in.com,1개,401명,502명,180명/286명
이에이트,시스템ㆍ응용 소프트웨어 개발 및 공급업,12년 (2012년 설립),"1억 9,759만원",주식회사,"3,971만원",e8ight.co.kr/,1개,88명,104명,23명/36명
코셈,그 외 기타 사업 지원 서비스업,14년 (2010년 설립),-,기타 법인,"5,852만원",-,1개,4명,5명,0명/0명
케이웨더,건물설비 설치 공사업,26년 (1998년 설립),"113억 3,915만원",주식회사,"3,556만원",kweather.co.kr,1개,1명,63명,24명/22명
사피엔반도체,공학 연구개발업,7년 (2017년 설립),"40억 3,012만원",주식회사,"7,192만원",www.sapien-semicon.com,1개,36명,44명,6명/15명
에스피소프트,시스템ㆍ응용 소프트웨어 개발 및 공급업,11년 (2013년 설립),"172억 7,725만원",주식회사,"5,243만원",www.spsoft.co.kr,1개,41명,43명,7명/8명
스튜디오삼익,"생활용 가구, 조명기구 및 비전기식 생활용기기 도매업",6년 (2018년 설립),-,기타 법인,"3,939만원",-,1개,2명,3명,1명/1명
폰드그룹,상품 중개업,1년 (2023년 설립),-,주식회사,-,www.pond-group.co.kr,1개,0명,-,-
레이저옵텍,기타 의료용 기기 제조업,24년 (2000년 설립),"186억 5,163만원",주식회사,"4,954만원",www.laseroptek.com,1개,60명,82명,16명/25명
이닉스,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",75년 (1949년 설립),"41조 5,573억 3,700만원",주식회사,"11,889만원",www.skhynix.com,1개,"32,218명","31,375명","1,809명/1,984명"
엘앤에프,비알코올 음료점업,7년 (2017년 설립),-,주식회사,-,hago.kr,9개,-,-,-
포스뱅크,컴퓨터 제조업,21년 (2003년 설립),"884억 8,706만원",주식회사,"4,815만원",www.posbank.com/,1개,100명,153명,17명/75명
현대힘스,선박 및 수상 부유 구조물 건조업,16년 (2008년 설립),"1,158억 8,344만원",주식회사,"5,864만원",www.hyms.kr,1개,117명,112명,12명/15명
드림인사이트,광고 대행업,12년 (2012년 설립),"122억 3,086만원",주식회사,"3,800만원",bydream.co.kr/,1개,103명,146명,29명/52명
우진엔텍,기타 기계 및 장비 도매업,1년 (2023년 설립),-,기타 법인,"3,308만원",-,1개,3명,4명,0명/0명
세븐브로이맥주,발효주 제조업,13년 (2011년 설립),"352억 1,128만원",주식회사,"7,378만원",sevenbrau.com,1개,26명,17명,12명/8명
한빛레이저,사진장비 및 광학기기 제조업,27년 (1997년 설립),-,주식회사,"4,665만원",www.hblaser.co.kr,1개,58명,67명,17명/22명
포스코DX,보육시설 운영업,13년 (2011년 설립),-,개인,"2,608만원",-,1개,10명,9명,6명/4명
씨싸이트,상품 중개업,25년 (1999년 설립),-,주식회사,"7,804만원",www.c-site.co.kr,1개,78명,58명,16명/5명
블루엠텍,"의약품, 의료용품 및 화장품 도매업",9년 (2015년 설립),"518억 7,954만원",주식회사,"3,834만원",www.bluemtec.com,1개,74명,90명,21명/37명
케이엔에스,광고 대행업,4년 (2020년 설립),-,기타 법인,"3,586만원",-,1개,1명,3명,1명/1명
와이바이오로직스,자연과학 연구개발업,17년 (2007년 설립),"48억 4,733만원",주식회사,"5,955만원",ybiologics.com,1개,53명,62명,5명/17명
에이텀,방송 및 무선 통신장비 제조업,8년 (2016년 설립),-,주식회사,"4,933만원",www.iatum.com/,1개,27명,25명,20명/14명
에이에스텍,기타 전자 부품 제조업,13년 (2011년 설립),-,기타 법인,"3,111만원",-,1개,6명,6명,1명/2명
그린리소스,그 외 기타 화학제품 제조업,13년 (2011년 설립),-,주식회사,"3,931만원",www.greenresource.kr,1개,38명,49명,24명/29명
제이엔비,"의약품, 의료용품 및 화장품 도매업",7년 (2017년 설립),"225억 3,609만원",주식회사,"4,659만원",-,1개,23명,36명,6명/9명
한선엔지니어링,"펌프 및 압축기 제조업; 탭, 밸브 및 유사 장치 제조 포함",12년 (2012년 설립),-,주식회사,"3,792만원",www.slok.co.kr,1개,149명,165명,37명/28명
동인기연,그 외 기타 사업 지원 서비스업,32년 (1992년 설립),"1,666억 2,313만원",주식회사,"6,030만원",www.dong-in.com/,1개,92명,120명,24명/35명
에코아이,엔지니어링 서비스업,19년 (2005년 설립),"269억 9,423만원",주식회사,"7,579만원",www.ecoeye.com,1개,31명,36명,12명/10명
스톰테크,가공 공작기계 제조업,9년 (2015년 설립),-,기타 법인,"5,766만원",-,1개,9명,7명,0명/0명
에코프로머티,기초 유기화학 물질 제조업,7년 (2017년 설립),"6,652억 4,827만원",주식회사,"5,045만원",ecopromaterials.com/,1개,346명,626명,118명/182명
캡스톤파트너스,경영 컨설팅 및 공공 관계 서비스업,16년 (2008년 설립),-,주식회사,"13,085만원",cspartners.co.kr,1개,15명,20명,9명/9명
프로젠,기초 의약 물질 및 생물학적 제제 제조업,24년 (2000년 설립),"81억 5,318만원",주식회사,"3,716만원",www.aprogen.com,1개,210명,313명,82명/105명
에스와이스틸텍,회사본부,7년 (2017년 설립),-,기타 법인,"5,586만원",-,1개,34명,37명,1명/4명
