회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
HS효성,사진장비 및 광학기기 제조업,7년 (2017년 설립),-,주식회사,"5,055만원",-,1개,26명,36명,4명/8명
신시웨이,시스템ㆍ응용 소프트웨어 개발 및 공급업,19년 (2005년 설립),"80억 5,499만원",주식회사,"5,384만원",www.sinsiway.com,1개,75명,76명,8명/9명
제이오,토목 시설물 건설업,36년 (1988년 설립),"384억 3,358만원",주식회사,"4,747만원",-,2개,292명,285명,54명/55명
라피치,시스템ㆍ응용 소프트웨어 개발 및 공급업,19년 (2005년 설립),"105억 1,200만원",주식회사,"4,842만원",www.rapeech.com,1개,121명,135명,23명/36명
제놀루션,자연과학 연구개발업,18년 (2006년 설립),"380억 8,500만원",주식회사,"5,263만원",genolution.co.kr,1개,88명,76명,41명/31명
제이앤티씨,기타 전기장비 제조업,28년 (1996년 설립),"1,013억 5,108만원",주식회사,"5,005만원",www.thejnt.com,1개,326명,294명,64명/43명
덕산테코피아,기초 유기화학 물질 제조업,8년 (2016년 설립),-,기타 법인,"5,233만원",-,1개,158명,161명,32명/37명
KBG,-,23년 (2001년 설립),-,주식회사,"4,021만원",www.kbgtech.co.kr/,2개,60명,17명,5명/3명
에스트래픽,통신 공사업,11년 (2013년 설립),"1,211억 7,396만원",주식회사,"8,602만원",www.straffic.co.kr,1개,2명,236명,24명/52명
스튜디오드래곤,"유선, 위성 및 기타 방송업",8년 (2016년 설립),"4,555억 3,367만원",주식회사,"9,895만원",www.studiodragon.net,2개,178명,174명,25명/20명
파워풀엑스,"세제, 화장품 및 광택제 제조업",10년 (2014년 설립),"132억 7,700만원",주식회사,"4,172만원",www.flexpower.co.kr,1개,43명,26명,35명/7명
AP시스템,반도체 및 디스플레이 제조용 기계 제조업,7년 (2017년 설립),"5,203억 5,880만원",주식회사,"6,444만원",www.apsystems.co.kr,1개,551명,536명,106명/115명
RFHIC,,,,,,,,,,
엠게임,시스템ㆍ응용 소프트웨어 개발 및 공급업,25년 (1999년 설립),"552억 9,906만원",주식회사,"5,814만원",www.mgamecorp.com,1개,218명,226명,18명/29명
아시아나항공,항공 여객 운송업,36년 (1988년 설립),-,주식회사,"7,531만원",www.flyasiana.com,1개,"8,160명","7,372명",951명/764명
티비에이치글로벌,"섬유, 직물 및 의복 액세서리 소매업",23년 (2001년 설립),"1,880억 7,555만원",주식회사,"5,758만원",-,1개,272명,265명,50명/58명
플랜티넷,시스템ㆍ응용 소프트웨어 개발 및 공급업,24년 (2000년 설립),"104억 7,564만원",주식회사,"5,468만원",www.plantynet.com,1개,77명,81명,20명/15명
iMBC,,,,,,,,,,
아미노로직스,"의약품, 의료용품 및 화장품 도매업",27년 (1997년 설립),-,주식회사,"7,615만원",www.aminologics.co.kr,2개,34명,36명,3명/6명
한국테크놀로지,상품 종합 도매업,27년 (1997년 설립),"151억 7,189만원",주식회사,"5,650만원",www.myht.co.kr,2개,10명,4명,4명/1명
상지건설,토목 시설물 건설업,19년 (2005년 설립),-,기타 법인,"2,820만원",-,1개,23명,7명,12명/8명
안국약품,완제 의약품 제조업,65년 (1959년 설립),"1,510억 4,341만원",주식회사,"5,388만원",www.ahn-gook.com,1개,183명,403명,93명/124명
케이바이오,기타 의료용 기기 제조업,16년 (2008년 설립),"87억 2,432만원",주식회사,"6,105만원",www.lnkbiomed.com,1개,62명,76명,29명/42명
HRS,,,,,,,,,,
에스에이엠티,"컴퓨터 및 주변장치, 소프트웨어 도매업",34년 (1990년 설립),"1조 8,011억 7,904만원",주식회사,"6,677만원",www.isamt.com,1개,124명,120명,13명/17명
위즈코프,한식 음식점업,0년 (2024년 설립),-,기타 법인,"3,921만원",-,1개,23명,11명,3명/14명
이건홀딩스,그 외 기타 금융업,36년 (1988년 설립),"142억 4,591만원",주식회사,"4,542만원",www.eagon.com,1개,51명,43명,20명/17명
파인디지털,통신 공사업,32년 (1992년 설립),"851억 2,336만원",주식회사,"5,225만원",www.finedigital.com,2개,157명,164명,33명/45명
나이스정보통신,,,,,,,,,,
SG&G,,,,,,,,,,
아이에이,인쇄관련 산업,16년 (2008년 설립),"193억 1,884만원",주식회사,"4,849만원",-,1개,260명,353명,107명/206명
에스넷,-,11년 (2013년 설립),-,기타 법인,"5,419만원",-,2개,67명,81명,10명/29명
에스엠,교육 지원 서비스업,4년 (2020년 설립),-,주식회사,"4,324만원",-,1개,6명,21명,2명/9명
쌍용정보통신,시스템ㆍ응용 소프트웨어 개발 및 공급업,43년 (1981년 설립),"2,051억 9,673만원",주식회사,"6,764만원",www.sicc.co.kr,2개,931명,921명,300명/391명
쎄니트,"철강 압연, 압출 및 연신제품 제조업",29년 (1995년 설립),"796억 3,326만원",주식회사,"3,601만원",www.cenit.kr,1개,80명,65명,14명/11명
대성미생물,,,,,,,,,,
에코플라스틱,자동차 차체용 신품 부품 제조업,40년 (1984년 설립),"9,323억 211만원",주식회사,"8,562만원",WWW.AP.CO.KR,1개,576명,587명,47명/68명
케이엠더블유,기타 전자 부품 제조업,36년 (1988년 설립),"1,479억 6,432만원",주식회사,"6,318만원",www.kmw.co.kr,1개,368명,271명,105명/14명
화성밸브,"펌프 및 압축기 제조업; 탭, 밸브 및 유사 장치 제조 포함",9년 (2015년 설립),-,기타 법인,"3,838만원",-,1개,11명,9명,12명/9명
경남스틸,"금속 열처리, 도금 및 기타 금속 가공업",34년 (1990년 설립),-,주식회사,"5,923만원",www.ksteel.co.kr,1개,100명,100명,22명/24명
마크로젠,"그 외 기타 전문, 과학 및 기술 서비스업",27년 (1997년 설립),"1,000억 8,551만원",주식회사,"5,812만원",www.macrogen.com,2개,561명,523명,108명/92명
희림,건축 및 조경 설계 서비스업,28년 (1996년 설립),"2,207억 9,291만원",주식회사,"7,609만원",www.heerim.com,1개,"1,426명","1,080명",183명/155명
레드캡투어,여행사업,28년 (1996년 설립),"2,228억 3,619만원",주식회사,"5,588만원",www.redcap.co.kr,1개,357명,360명,66명/55명
솔브레인홀딩스,그 외 기타 금융업,38년 (1986년 설립),"188억 9,696만원",주식회사,"8,962만원",http://www.soulbrainholdings.co.kr,1개,87명,77명,23명/18명
에프에스티,육류 가공 및 저장 처리업,6년 (2018년 설립),-,주식회사,"3,306만원",-,1개,4명,6명,0명/1명
코맥스,,,,,,,,,,
EG,일반 및 생활 숙박시설 운영업,9년 (2015년 설립),-,주식회사,"4,608만원",-,1개,441명,"1,816명","230명/1,833명"
