회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
레브잇,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),"2억 1,026만원",주식회사,"5,246만원",-,2개,33명,71명,75명/110명
두잇,소화물 전문 운송업,2년 (2022년 설립),-,주식회사,"4,604만원",-,1개,0명,57명,46명/67명
짐캐리,그 외 기타 분류 안된 개인 서비스업,6년 (2018년 설립),-,주식회사,"3,028만원",-,1개,83명,110명,53명/70명
버킷플레이스,그 외 기타 정보 서비스업,10년 (2014년 설립),"1,176억 2,630만원",주식회사,"6,032만원",-,1개,544명,655명,221명/235명
채널코퍼레이션,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),"70억 7,265만원",주식회사,"6,032만원",-,1개,133명,179명,66명/105명
요헤미티,식료품 소매업,3년 (2021년 설립),-,주식회사,"4,431만원",-,1개,6명,7명,0명/0명
메디허브,경영 컨설팅 및 공공 관계 서비스업,2년 (2022년 설립),-,주식회사,"4,594만원",-,1개,8명,8명,7명/6명
에이블리코퍼레이션,의복 소매업,9년 (2015년 설립),"934억 7,770만원",주식회사,"5,394만원",-,1개,309명,307명,105명/119명
룩인사이트,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),-,주식회사,"3,416만원",-,1개,1명,5명,6명/6명
바크,통신 판매업,2년 (2022년 설립),-,주식회사,"3,377만원",-,1개,1명,8명,4명/10명
콘스탄트,"의약품, 의료용품 및 화장품 도매업",4년 (2020년 설립),"5억 6,081만원",주식회사,"3,382만원",-,1개,15명,25명,16명/27명
뤼튼테크놀로지스,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),-,주식회사,"5,473만원",-,1개,51명,95명,41명/72명
바로팜,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"2억 6,529만원",주식회사,"5,226만원",-,1개,45명,55명,35명/43명
인테이크,그 외 기타 종합 소매업,11년 (2013년 설립),125억 21만원,주식회사,"5,051만원",-,1개,42명,41명,17명/16명
해빗팩토리,시스템ㆍ응용 소프트웨어 개발 및 공급업,8년 (2016년 설립),"3억 9,077만원",,"5,047만원",https://habitfactory.co/,1개,16명,,
더휴식,일반 및 생활 숙박시설 운영업,3년 (2021년 설립),-,,-,-,1개,4명,,
트웰브랩스,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),-,기타 법인,"5,882만원",-,1개,14명,37명,9명/20명
컬리,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,10년 (2014년 설립),"1조 5,579억 5,521만원",주식회사,"4,164만원",www.kurly.com,1개,"4,678명","2,650명","1,369명/1,317명"
스플랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,2년 (2022년 설립),-,,-,-,1개,1명,,
핀테크,시스템ㆍ응용 소프트웨어 개발 및 공급업,8년 (2016년 설립),36억 705만원,,"4,690만원",-,1개,38명,,
마이리얼트립,여행사업,11년 (2013년 설립),44억 552만원,주식회사,"6,032만원",www.myrealtrip.com,1개,297명,257명,145명/113명
